登録番号,登録年月日,事業者名,事業の種類,事業の種類の細目1,事業の種類の細目2,事業所名,所在地(都道府県),所在地(市区町村),登録対象業務の従業員数
105527,20180330,社会福祉法人かすみが丘学園,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,障害者支援施設ライフかすみ,福井県,坂井市,45
105529,20180330,社会福祉法人かすみが丘学園,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,グループホームコミュニティかすみ,福井県,坂井市,10
105723,20180330,医療法人上野会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設ナーシングホーム館林,群馬県,館林市,62
105789,20190523,社会福祉法人　信和会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームほづみ園,岐阜県,瑞穂市,51
105827,20180330,社会医療法人　杏嶺会 ,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設やすらぎ,愛知県,一宮市,116
105839,20180330,医療法人三善会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設第二アメニティつしま,愛知県,津島市,47
105857,20180330,社会福祉法人芸北福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム寿光園,広島県,山県郡安芸太田町,63
105861,20180330,社会福祉法人ともお会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームさくら園,鹿児島県,大島郡知名町,36
105933,20180330,社会福祉法人福寿会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム福寿園,三重県,伊賀市,42
105937,20180330,社会福祉法人恩賜財団済生会支部福井県済生会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,福井県済生会介護老人保健施設ケアホームさいせい,福井県,福井市,80
106097,20180330,特定非営利活動法人　中野の和,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,コル・テンポ薬師の家,東京都,中野区,22
106221,20180330,医療法人恵仁会　アレーテル・つくば,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,医療法人恵仁会アレーテル・つくば,茨城県,つくば市,48
106405,20180330,社会福祉法人斎宮会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設みずほの里,三重県,多気郡多気町,69
106435,20180330,医療法人 明吾会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,医療法人 明吾会,埼玉県,川越市,53
106467,20180330,グループホームあおぞら,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,グループホームあおぞら,福岡県,田川郡福智町,22
106497,20180330,グループホームくもじ,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,グループホームくもじ,福岡県,遠賀郡芦屋町,17
106499,20180330,医療法人　大志会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設　アンビションうちこ園,愛媛県,喜多郡内子町,88
106509,20180330,医療法人友愛会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設さわやかセンター,宮崎県,小林市,59
106523,20180330,社会福祉法人縁むすび福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,宍道楽苑,島根県,松江市,32
106545,20180330,社会福祉法人あけぼの会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設なごみのさと,秋田県,大仙市,99
106585,20180330,山根蓉子,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設まり,鳥取県,米子市,8
106591,20180330,社会福祉法人　二宮会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム喜望荘,栃木県,真岡市,45
106601,20180330,医療法人社団青洲会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設さくら,茨城県,土浦市,61
106603,20180330,医療法人　新都市医療研究会「君津」会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,南大和老人保健施設,神奈川県,大和市,45
106615,20180330,医療法人　有朋会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設　ラポール・レイゾン,群馬県,邑楽郡邑楽町,46
106617,20180330,社会副法人一幸会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人福祉施設池幸園,山形県,鶴岡市,44
106627,20180330,医療法人社団　にいさと会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設　さくら苑,群馬県,桐生市,80
106641,20180330,社会福祉法人恵愛会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームめぐみの里,石川県,小松市,72
106667,20180330,医療法人穂仁会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,福井ケアセンター,福井県,福井市,97
106669,20180330,地域密着型介護老人福祉施設三峯の杜,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,地域密着型介護老人福祉施設三峯の杜,岩手県,釜石市,43
106731,20180330,社会福祉法人敬愛会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム慈宗院,三重県,津市,44
106745,20180330,介護付有料老人ホーム　サンライズ霧島,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護付有料老人ホーム　サンライズ霧島,鹿児島県,霧島市,18
106757,20180330,社会福祉法人　聖光会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,社会福祉法人　聖光会,鹿児島県,肝属郡南大隅町,32
106775,20180330,介護老人保健施設　孝穂舘,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設　孝穂舘,長野県,安曇野市,54
106853,20180330,社会福祉法人敬老会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,シルバーハイツ宮崎,福井県,丹生郡越前町,43
106927,20180330,医療法人啓生会すずらん春日井,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,訪問介護センターすずらん春日井,愛知県,春日井市,9
106979,20180330,有限会社　福助,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,有料老人ホーム福助,宮崎県,東諸県郡国富町,10
106983,20180330,社会福祉法人　日野会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,五岳園,福井県,鯖江市,55
106987,20180330,医療法人ちどり,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,ケアセンター千鳥,島根県,松江市,46
107021,20180330,医療法人盈科会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設ケアセンター阿見,茨城県,稲敷郡阿見町,75
107023,20190523,医療法人盈科会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設ケアセンター阿見,茨城県,稲敷郡阿見町,75
107035,20180330,特別養護老人ホームかつろくの里,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームかつろくの里,山形県,新庄市,75
107055,20180330,社会福祉法人秀峯会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームきじの里,長崎県,五島市,80
107059,20180330,社会福祉法人麗沢会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームたきざわの家,岩手県,岩手郡滝沢村,45
107103,20180330,社会福祉法人ことぶき会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームことぶき荘,愛媛県,八幡浜市,58
107193,20180330,特別養護老人ホーム　いこいの海・あらと,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム　いこいの海・あらと,宮城県,本吉郡南三陸町,50
107245,20180330,グループホームこまきの泉,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,グループホームこまきの泉,愛知県,小牧市,17
107249,20180330,医療法人至誠会介護老人保健施設健寿荘,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,医療法人至誠会介護老人保健施設健寿荘,大分県,由布市,178
107271,20180330,社会福祉法人みゆき福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームみずほの里,山形県,上山市,65
107309,20180330,医療法人共生会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設NAC湯村,山梨県,甲府市,57
107311,20180330,社会福祉法人みどりの里,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームハーモニー,岐阜県,大垣市,40
107327,20190523,医療法人社団　柔心会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,医療法人社団　柔心会,秋田県,男鹿市,120
107377,20180330,社会福祉法人はーとらんど,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム　ハートランド五條,奈良県,五條市,35
107409,20180330,社会福祉法人愛和会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム幸せの里,鹿児島県,薩摩川内市,70
107449,20180330,社会福祉法人　松涛会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム千倉苑,千葉県,南房総市,53
107515,20180330,テンダーヒル御所わかば館グループホームきっとうっど,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,テンダーヒル御所わかば館グループホームきっとうっど,奈良県,御所市,30
107707,20180330,社会福祉法人あすなろ会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,高草あすなろ,鳥取県,鳥取市,130
107709,20180330,和光市,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム和光苑,埼玉県,和光市,36
107797,20180330,社会福祉法人和木三志会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームわきあいあい苑,山口県,玖珂郡和木町,27
107813,20180330,社会福祉法人ひじり福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,養護老人ホームゆずの郷,大阪府,箕面市,26
107825,20180330,特別養護老人ホームフラワープラム,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームフラワープラム,東京都,西多摩郡瑞穂町,80
107901,20180330,グループホーム「シュアー」,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,グループホーム「シュアー」,岐阜県,多治見市,13
107919,20180330,涌谷町老人保健施設,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,涌谷町老人保健施設,宮城県,遠田郡涌谷町,105
107957,20180330,社会福祉法人　育心会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム犀川園,福岡県,京都郡みやこ町,35
108023,20180330,和光市,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設ナーシングホーム和光,埼玉県,和光市,66
108045,20180330,医療法人社団愛光会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設鴻巣フラワーパレス,埼玉県,鴻巣市,79
108047,20180330,社会福祉法人志純会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,からたちの丘,群馬県,渋川市,38
108091,20180330,医療法人一成会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,医療法人一成会　かわぐちナーシングホーム,埼玉県,川口市,116
108099,20180330,株式会社サンボウ,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,サービス付高齢者向け住宅ぬくもり花川,北海道,石狩市,31
108135,20180330,社会福祉法人おおつか福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームもくもく苑,島根県,出雲市,61
108149,20180330,特別養護老人ホーム　孝明豊科舘,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム　孝明豊科舘,長野県,安曇野市,61
108163,20180330,さわら老健センター,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,さわら老健センター,福岡県,福岡市早良区,90
108225,20180330,社会福祉法人大桐会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム天の間園,群馬県,富岡市,51
108255,20180330,医療法人　光風会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護療養型老人保健施設　エバーグリーン,愛媛県,伊予市,42
108309,20180330,社会福祉法人　孝友会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム　サンフラワーひたちなか,茨城県,ひたちなか市,34
108321,20180330,特別養護老人ホームまほろば,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームまほろば,岐阜県,揖斐郡大野町,33
108325,20180330,社会福祉法人いなほ会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム春華園,沖縄県,中頭郡中城村,138
108333,20180330,医療法人社団厚仁会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設　ぬくもりの家,神奈川県,秦野市,68
108339,20180330,社会福祉法人　萬里の会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム悠々の里,愛知県,愛西市,49
108353,20180330,社会福祉法人広谷福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームセイフティー信和,広島県,府中市,25
108397,20180330,社会福祉法人かも福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム笑寿苑,島根県,雲南市,56
108407,20180330,社会福祉法人陵幸会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム陵幸園,鹿児島県,鹿屋市,40
108419,20180330,医療法人青藍会　介護老人保健施設かすみがうら,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,医療法人青藍会　介護老人保健施設かすみがうら,茨城県,行方市,85
108421,20180330,ラ･ナシカ まつもと弐番館,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,ラ･ナシカまつもと弐番館,長野県,松本市,25
108431,20180330,社会福祉法人牧羊福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム能登穴水聖頌園,石川県,鳳珠郡穴水町,56
108465,20180330,社会福祉法人わち福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,社会福祉法人わち福祉会,京都府,船井郡京丹波町,66
108493,20190523,社会医療法人福島厚生会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設ホリスティカかまた,福島県,福島市,74
108545,20180330,社会福祉法人かみかわ福寿園,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,上川町特別養護老人ホーム大雪荘,北海道,上川郡上川町,4
108647,20180330,社会福祉法人　植木会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームなごみ,群馬県,伊勢崎市,48
108727,20180330,社会福祉法人愛心会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームあさひ苑,愛媛県,宇和島市,43
108781,20180330,社会福祉法人愛知たいようの杜,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,社会福祉法人愛知たいようの杜,愛知県,長久手市,288
108787,20180330,社会福祉法人東雲会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームよしの荘,茨城県,常総市,90
108815,20180330,有限会社　望仙樓,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,グループホーム　さくらの杜,岐阜県,多治見市,20
108857,20180330,社会福祉法人和光会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,グランモア和光苑,千葉県,市原市,32
108873,20180330,医療法人滴水会　老人保健施設燧園,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設燧園,愛媛県,今治市,66
108899,20180330,社会福祉法人ハレルヤ,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームハレルヤ,埼玉県,朝霞市,52
108901,20180330,社会福祉法人るりこう会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームこはく苑,栃木県,足利市,55
108953,20180330,社会福祉法人文珠福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人福祉施文珠苑,福井県,福井市,59
109117,20180330,社会福祉法人あがた福祉の会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,くぬぎの木特別養護老人ホーム,三重県,四日市市,31
109247,20180330,社会福祉法人大志会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム森の里,長野県,千曲市,40
109261,20180330,社会福祉法人幸輝会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,みまさか園,岡山県,美作市,80
109315,20180330,社会福祉法人山県東中部福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームやすらぎ,広島県,山県郡北広島町,28
109351,20180330,社会福祉法人由布市社会福祉協議会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,由布市社会福祉協議会訪問介護事業所,大分県,由布市,16
109353,20180330,社会福祉法人由布市社会福祉協議会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,由布市居宅介護挾間事業所こすもす,大分県,由布市,16
109367,20180330,社会福祉法人上秋津福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,社会福祉法人上秋津福祉会　介護老人保健施設あきつの,和歌山県,田辺市,51
109371,20180330,医療法人みのり会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設つばさ,和歌山県,有田郡有田川町,10
109425,20180330,社会福祉法人　長寿の郷,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム長寿苑,香川県,観音寺市,23
109477,20180330,特別養護老人ホーム　きづなの里,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム　きづなの里,奈良県,大和郡山市,50
109501,20180330,社会福祉法人楽山会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム　淡淡荘,長崎県,島原市,60
109537,20180330,社会福祉法人こばと会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームいのこの里,大阪府,吹田市,76
109543,20190523,ケアサービスアイ,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,アイホーム,福井県,敦賀市,28
109545,20180330,社会福祉法人健愛会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,かわにし苑,福井県,福井市,51
109547,20180330,医療法人社団高原会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設なんな苑,千葉県,市原市,83
109575,20180330,老人保健施設さくら館,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設さくら館,北海道,旭川市,50
109587,20180330,医療法人社団寿光会老人保健施設エスポワール岬,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,医療法人社団寿光会老人保健施設エスポワール岬,千葉県,いすみ市,94
109661,20190523,社会福祉法人　博寿会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームさくら苑,和歌山県,橋本市,76
109685,20180330,訪問介護　あまのがわ,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,訪問介護あまのがわ,奈良県,北葛城郡広陵町,11
109705,20180330,医療法人蘭和会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設ケアガーデン津山,岡山県,津山市,62
109707,20180330,介護老人保健施設　老春苑,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設　老春苑,鹿児島県,肝属郡肝付町,52
109715,20180330,有限会社　こすもす,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護センターこすもす,長野県,茅野市,20
109719,20180330,医療法人同仁会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設ケアセンターきすき,島根県,雲南市,56
109785,20180330,社会福祉法人桜和会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム大栗の里,栃木県,佐野市,46
109881,20180330,メディカル・ケア・サービス東北株式会社,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,愛の家グループホーム福島宮代,福島県,福島市,14
109889,20180330,社会福祉法人三誠会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームマーシイヒル,千葉県,松戸市,88
109923,20180330,社会福法人秀峯会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設つくしの里,長崎県,南松浦郡新上五島町,80
110025,20180330,社会福祉法人真亀会　,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設春祺荘,栃木県,真岡市,68
